dataset,mode,operation,joblib-pandas,pandas
medium,filtered_cached,std,0.00017904900005305535,0.00017543849997991856
medium,filtered_cached,sum_columns,0.00023517650004123425,0.00019334499995693477
medium,filtered_cached,value_counts,0.0006749260000447066,0.0005782729999737057
medium,standard,complex,0.013790872499953366,0.004197592999958033
medium,standard,count,0.01299196349992826,0.002997272500010695
medium,standard,count_index,0.01268984600000067,0.003579546000025857
medium,standard,groupby,0.015245457999981227,0.0048126410000008946
medium,standard,join,0.01403228350000063,0.003708694499948706
medium,standard,join_count,0.013605721500027812,0.004091857500043261
medium,standard,mean,0.013172715499990773,0.0038821030000235623
medium,standard,mean_complex,0.014261451499976374,0.0042974604999699295
medium,standard,mean_product,0.012670560000003661,0.0031193300000040836
medium,standard,mean_sum,0.012806484999998702,0.003957248500000787
medium,standard,product_columns,0.012983987000040997,0.0037625460000754174
medium,standard,read_collect,0.012280985500012775,0.0028863990000331796
medium,standard,std,0.012810693999995237,0.0030550875000017186
medium,standard,sum_columns,0.01338565999998309,0.003386853999984396
medium,standard,value_counts,0.013105846500025109,0.0036364355000273463
small,filtered,complex,0.014139439999951264,0.004133248500011177
small,filtered,count,0.013289670499943895,0.0032398199999761346
small,filtered,count_index,0.012607316000014634,0.00466853800003264
small,filtered,groupby,0.015955897499964067,0.008074698999962493
small,filtered,join,0.01379588499997908,0.004195360000039727
small,filtered,join_count,0.013763217500013525,0.0038652030000321247
small,filtered,mean,0.019850224999970578,0.0051973684999779834
small,filtered,mean_complex,0.014072781000095347,0.004742962499960868
small,filtered,mean_product,0.013634406499988927,0.0031250860000682223
small,filtered,mean_sum,0.013346980499989058,0.0031570379999834586
small,filtered,product_columns,0.013634810000041853,0.0029460719999860885
small,filtered,std,0.013224762500044562,0.0038179035000212025
small,filtered,sum_columns,0.013265602999979365,0.003773102499962988
small,filtered,value_counts,0.01525190850003355,0.0038414825000359087
small,filtered_cached,complex,0.0010016279999831568,0.0009069884999917122
small,filtered_cached,count,7.575999973141734e-06,8.588000071085844e-06
small,filtered_cached,count_index,9.017999957450229e-06,1.0741499977484636e-05
small,filtered_cached,groupby,0.002089527500004351,0.0015477784999688993
small,filtered_cached,join,0.0008067754999956378,0.0009179095000035886
small,filtered_cached,join_count,0.0007911120000017036,0.0012398645000644137
small,filtered_cached,mean,0.00012921100000085062,0.00014929500002835994
small,filtered_cached,mean_complex,0.001088761500000146,0.001269067499947596
small,filtered_cached,mean_product,0.0002180365000299389,0.0002998625000714128
small,filtered_cached,mean_sum,0.00021336500003599213,0.00027122500000587024
small,filtered_cached,product_columns,0.00022302399997897737,0.00020395599995026714
small,filtered_cached,std,0.0001858589999983451,0.00021437149996472726
small,filtered_cached,sum_columns,0.0002021429999672364,0.00048148550001769763
small,filtered_cached,value_counts,0.000458686500053318,0.00048244700002442187
small,standard,complex,0.013977808500044375,0.0039502429999629385
small,standard,count,0.014452686499964784,0.0027200329999459427
small,standard,count_index,0.016426120999994964,0.0037657610000110253
small,standard,groupby,0.014754669500007367,0.006392707499969674
small,standard,join,0.014287072500053455,0.005039505499951247
small,standard,join_count,0.013379675999999563,0.003714114499985044
small,standard,mean,0.012723169999958373,0.005167191499992896
small,standard,mean_complex,0.01393364349996773,0.004265452999959507
small,standard,mean_product,0.012841697499993643,0.0035738275000198882
small,standard,mean_sum,0.014280547500050034,0.004860081000003902
small,standard,product_columns,0.012674553500005459,0.0033768879999911405
small,standard,read_collect,0.01253047850002531,0.004286539000020184
small,standard,std,0.012962360500011982,0.0034038525000141817
small,standard,sum_columns,0.013349796500051525,0.003337967499987826
small,standard,value_counts,0.012920969499987223,0.004964554500020313
