dataset,mode,operation,backend,median_seconds,min_seconds,max_seconds,repeats
medium,filtered_cached,groupby,pandas,0.0017903910000427459,0.001584307000030094,0.0019964750000553977,2
medium,filtered_cached,join,joblib-pandas,0.000985468999999739,0.0009730259999969348,0.0009979120000025432,2
medium,filtered_cached,join,pandas,0.00148082449999265,0.0012319669999669713,0.0017296820000183288,2
medium,filtered_cached,join_count,joblib-pandas,0.0009723195000219675,0.0009105830000635251,0.00103405599998041,2
medium,filtered_cached,join_count,pandas,0.00112972150003543,0.001041026000052625,0.0012184170000182348,2
medium,filtered_cached,mean,joblib-pandas,0.00023279350006077948,0.00015777300006902806,0.0003078140000525309,2
medium,filtered_cached,mean,pandas,0.0001914574999659635,0.00016811799991955922,0.0002147970000123678,2
medium,filtered_cached,mean_complex,joblib-pandas,0.0014226594999513509,0.0012679809999553981,0.0015773379999473036,2
medium,filtered_cached,mean_complex,pandas,0.0012407810000354402,0.0012353630000916382,0.0012461989999792422,2
medium,filtered_cached,mean_product,joblib-pandas,0.0004049430000350185,0.00032841500001268287,0.0004814710000573541,2
medium,filtered_cached,mean_product,pandas,0.00027597749993901743,0.00026898699991306785,0.000282967999964967,2
medium,filtered_cached,mean_sum,joblib-pandas,0.0002361179999752494,0.00020079599994460295,0.00027144000000589585,2
medium,filtered_cached,mean_sum,pandas,0.00039673550003271885,0.00024715400002151,0.0005463170000439277,2
medium,filtered_cached,product_columns,joblib-pandas,0.0002062545000285354,0.00020162800001344294,0.00021088100004362786,2
medium,filtered_cached,product_columns,pandas,0.00021731099997168712,0.00020846799998253118,0.00022615399996084307,2
medium,filtered_cached,std,joblib-pandas,0.00017904900005305535,0.000159445000008418,0.0001986530000976927,2
medium,filtered_cached,std,pandas,0.00017543849997991856,0.00017135199993845163,0.0001795250000213855,2
medium,filtered_cached,sum_columns,joblib-pandas,0.00023517650004123425,0.0002259130000084042,0.0002444400000740643,2
medium,filtered_cached,sum_columns,pandas,0.00019334499995693477,0.00019232399995416927,0.00019436599995970028,2
medium,filtered_cached,value_counts,joblib-pandas,0.0006749260000447066,0.0006246620000638359,0.0007251900000255773,2
medium,filtered_cached,value_counts,pandas,0.0005782729999737057,0.0005396560000008321,0.0006168899999465793,2
medium,standard,complex,joblib-pandas,0.013790872499953366,0.013669858999946882,0.01391188599995985,2
medium,standard,complex,pandas,0.004197592999958033,0.0040041080000037255,0.004391077999912341,2
medium,standard,count,joblib-pandas,0.01299196349992826,0.01268317299991395,0.013300753999942572,2
medium,standard,count,pandas,0.002997272500010695,0.0029626509999616246,0.003031894000059765,2
medium,standard,count_index,joblib-pandas,0.01268984600000067,0.012267260000044189,0.013112431999957153,2
medium,standard,count_index,pandas,0.003579546000025857,0.0030833189999839306,0.004075773000067784,2
medium,standard,groupby,joblib-pandas,0.015245457999981227,0.014597666999975445,0.01589324899998701,2
medium,standard,groupby,pandas,0.0048126410000008946,0.004626517000019703,0.004998764999982086,2
medium,standard,join,joblib-pandas,0.01403228350000063,0.013770137000051363,0.014294429999949898,2
medium,standard,join,pandas,0.003708694499948706,0.0035007349999887083,0.0039166539999087036,2
medium,standard,join_count,joblib-pandas,0.013605721500027812,0.013573327000017343,0.01363811600003828,2
medium,standard,join_count,pandas,0.004091857500043261,0.0036515280000912753,0.004532186999995247,2
medium,standard,mean,joblib-pandas,0.013172715499990773,0.012701069999934589,0.013644361000046956,2
medium,standard,mean,pandas,0.0038821030000235623,0.003332427000032112,0.004431779000015013,2
medium,standard,mean_complex,joblib-pandas,0.014261451499976374,0.014200230999904306,0.014322672000048442,2
medium,standard,mean_complex,pandas,0.0042974604999699295,0.004088641999942411,0.004506278999997448,2
medium,standard,mean_product,joblib-pandas,0.012670560000003661,0.012612890000013977,0.012728229999993346,2
medium,standard,mean_product,pandas,0.0031193300000040836,0.0029361670000298545,0.0033024929999783126,2
medium,standard,mean_sum,joblib-pandas,0.012806484999998702,0.012703422999948089,0.012909547000049315,2
medium,standard,mean_sum,pandas,0.003957248500000787,0.003050140000027568,0.004864356999974007,2
medium,standard,product_columns,joblib-pandas,0.012983987000040997,0.012799410000070566,0.013168564000011429,2
medium,standard,product_columns,pandas,0.0037625460000754174,0.003755771000101049,0.0037693210000497857,2
medium,standard,read_collect,joblib-pandas,0.012280985500012775,0.012161183999978675,0.012400787000046876,2
medium,standard,read_collect,pandas,0.0028863990000331796,0.0028368960000761945,0.0029359019999901648,2
medium,standard,std,joblib-pandas,0.012810693999995237,0.012600259999999253,0.013021127999991222,2
medium,standard,std,pandas,0.0030550875000017186,0.0029897409999648517,0.0031204340000385855,2
medium,standard,sum_columns,joblib-pandas,0.01338565999998309,0.013045948000012686,0.013725371999953495,2
medium,standard,sum_columns,pandas,0.003386853999984396,0.002982439999982489,0.003791267999986303,2
medium,standard,value_counts,joblib-pandas,0.013105846500025109,0.013026339000020926,0.013185354000029292,2
medium,standard,value_counts,pandas,0.0036364355000273463,0.0035856409999723837,0.003687230000082309,2
small,filtered,complex,joblib-pandas,0.014139439999951264,0.013956607999944026,0.014322271999958502,2
small,filtered,complex,pandas,0.004133248500011177,0.00404736200005118,0.004219134999971175,2
small,filtered,count,joblib-pandas,0.013289670499943895,0.013046328999962498,0.013533011999925293,2
small,filtered,count,pandas,0.0032398199999761346,0.003050561000009111,0.003429078999943158,2
small,filtered,count_index,joblib-pandas,0.012607316000014634,0.012593250000008993,0.012621382000020276,2
small,filtered,count_index,pandas,0.00466853800003264,0.0031806929999902422,0.006156383000075039,2
small,filtered,groupby,joblib-pandas,0.015955897499964067,0.014409235000016452,0.017502559999911682,2
small,filtered,groupby,pandas,0.008074698999962493,0.0050983019999648604,0.011051095999960125,2
small,filtered,join,joblib-pandas,0.01379588499997908,0.013664139999946201,0.013927630000011959,2
small,filtered,join,pandas,0.004195360000039727,0.003713458999982322,0.004677261000097133,2
small,filtered,join_count,joblib-pandas,0.013763217500013525,0.013748005000024932,0.013778430000002118,2
small,filtered,join_count,pandas,0.0038652030000321247,0.00384622500007481,0.0038841809999894394,2
small,filtered,mean,joblib-pandas,0.019850224999970578,0.016468457999962993,0.023231991999978163,2
small,filtered,mean,pandas,0.0051973684999779834,0.003968525999994199,0.006426210999961768,2
small,filtered,mean_complex,joblib-pandas,0.014072781000095347,0.01354722800010677,0.014598334000083923,2
small,filtered,mean_complex,pandas,0.004742962499960868,0.004287720999968769,0.005198203999952966,2
small,filtered,mean_product,joblib-pandas,0.013634406499988927,0.01333591599995998,0.013932897000017874,2
small,filtered,mean_product,pandas,0.0031250860000682223,0.003081807000057779,0.0031683650000786656,2
small,filtered,mean_sum,joblib-pandas,0.013346980499989058,0.013155500000038955,0.013538460999939161,2
small,filtered,mean_sum,pandas,0.0031570379999834586,0.0031136640000113402,0.003200411999955577,2
small,filtered,product_columns,joblib-pandas,0.013634810000041853,0.013558640000042033,0.013710980000041673,2
small,filtered,product_columns,pandas,0.0029460719999860885,0.0028964839999616743,0.0029956600000105027,2
small,filtered,std,joblib-pandas,0.013224762500044562,0.013103759000046011,0.013345766000043113,2
small,filtered,std,pandas,0.0038179035000212025,0.0037872479999805364,0.0038485590000618686,2
small,filtered,sum_columns,joblib-pandas,0.013265602999979365,0.013130122999996274,0.013401082999962455,2
small,filtered,sum_columns,pandas,0.003773102499962988,0.0037590169999930367,0.0037871879999329394,2
small,filtered,value_counts,joblib-pandas,0.01525190850003355,0.014523339000106716,0.015980477999960385,2
small,filtered,value_counts,pandas,0.0038414825000359087,0.0037442640000335814,0.003938701000038236,2
small,filtered_cached,complex,joblib-pandas,0.0010016279999831568,0.0009405779999269726,0.001062678000039341,2
small,filtered_cached,complex,pandas,0.0009069884999917122,0.0008527590000539931,0.0009612179999294312,2
small,filtered_cached,count,joblib-pandas,7.575999973141734e-06,7.560999961242487e-06,7.59099998504098e-06,2
small,filtered_cached,count,pandas,8.588000071085844e-06,7.11100005901244e-06,1.0065000083159248e-05,2
small,filtered_cached,count_index,joblib-pandas,9.017999957450229e-06,8.56199994814233e-06,9.473999966758129e-06,2
small,filtered_cached,count_index,pandas,1.0741499977484636e-05,9.08399999843823e-06,1.2398999956531043e-05,2
small,filtered_cached,groupby,joblib-pandas,0.002089527500004351,0.0014333340000121098,0.0027457209999965926,2
small,filtered_cached,groupby,pandas,0.0015477784999688993,0.0015413239999588768,0.0015542329999789217,2
small,filtered_cached,join,joblib-pandas,0.0008067754999956378,0.000804216999995333,0.0008093339999959426,2
small,filtered_cached,join,pandas,0.0009179095000035886,0.0008838139999625128,0.0009520050000446645,2
small,filtered_cached,join_count,joblib-pandas,0.0007911120000017036,0.0007886230000622163,0.0007936009999411908,2
small,filtered_cached,join_count,pandas,0.0012398645000644137,0.0009645730000329422,0.0015151560000958852,2
small,filtered_cached,mean,joblib-pandas,0.00012921100000085062,0.00012499499996465602,0.00013342700003704522,2
small,filtered_cached,mean,pandas,0.00014929500002835994,0.00013785300006929901,0.00016073699998742086,2
small,filtered_cached,mean_complex,joblib-pandas,0.001088761500000146,0.001059063000070637,0.0011184599999296552,2
small,filtered_cached,mean_complex,pandas,0.001269067499947596,0.0010428289999708795,0.0014953059999243123,2
small,filtered_cached,mean_product,joblib-pandas,0.0002180365000299389,0.00021510700003091188,0.00022096600002896594,2
small,filtered_cached,mean_product,pandas,0.0002998625000714128,0.00029716900007770164,0.00030255600006512395,2
small,filtered_cached,mean_sum,joblib-pandas,0.00021336500003599213,0.00020602400002189825,0.000220706000050086,2
small,filtered_cached,mean_sum,pandas,0.00027122500000587024,0.0002616059999809295,0.000280844000030811,2
small,filtered_cached,product_columns,joblib-pandas,0.00022302399997897737,0.00019449699993856484,0.0002515510000193899,2
small,filtered_cached,product_columns,pandas,0.00020395599995026714,0.00019931399992856313,0.00020859799997197115,2
small,filtered_cached,std,joblib-pandas,0.0001858589999983451,0.00018098700002155965,0.00019073099997513054,2
small,filtered_cached,std,pandas,0.00021437149996472726,0.0001881579999007954,0.00024058500002865912,2
small,filtered_cached,sum_columns,joblib-pandas,0.0002021429999672364,0.00018240899999000248,0.0002218769999444703,2
small,filtered_cached,sum_columns,pandas,0.00048148550001769763,0.00018214900001112255,0.0007808220000242727,2
small,filtered_cached,value_counts,joblib-pandas,0.000458686500053318,0.00043060500001956825,0.0004867680000870678,2
small,filtered_cached,value_counts,pandas,0.00048244700002442187,0.0004799280000042927,0.00048496600004455104,2
small,standard,complex,joblib-pandas,0.013977808500044375,0.013960759000042344,0.013994858000046406,2
small,standard,complex,pandas,0.0039502429999629385,0.003865271999984543,0.004035213999941334,2
small,standard,count,joblib-pandas,0.014452686499964784,0.012810436999984631,0.016094935999944937,2
small,standard,count,pandas,0.0027200329999459427,0.0027082259999815506,0.002731839999910335,2
small,standard,count_index,joblib-pandas,0.016426120999994964,0.013009714999952848,0.01984252700003708,2
small,standard,count_index,pandas,0.0037657610000110253,0.002638723000018217,0.0048927990000038335,2
small,standard,groupby,joblib-pandas,0.014754669500007367,0.014347108000038133,0.0151622309999766,2
small,standard,groupby,pandas,0.006392707499969674,0.005899494999994204,0.006885919999945145,2
small,standard,join,joblib-pandas,0.014287072500053455,0.013147789000072407,0.015426356000034502,2
small,standard,join,pandas,0.005039505499951247,0.004947749999928419,0.005131260999974074,2
small,standard,join_count,joblib-pandas,0.013379675999999563,0.01307323899993662,0.013686113000062505,2
small,standard,join_count,pandas,0.003714114499985044,0.0036288640000066152,0.0037993649999634727,2
small,standard,mean,joblib-pandas,0.012723169999958373,0.012693242999944232,0.012753096999972513,2
small,standard,mean,pandas,0.005167191499992896,0.0045493469999655645,0.005785036000020227,2
small,standard,mean_complex,joblib-pandas,0.01393364349996773,0.013510524000025725,0.014356762999909733,2
small,standard,mean_complex,pandas,0.004265452999959507,0.003895741999940583,0.004635163999978431,2
small,standard,mean_product,joblib-pandas,0.012841697499993643,0.012701521000053617,0.012981873999933669,2
small,standard,mean_product,pandas,0.0035738275000198882,0.002938835999998446,0.004208819000041331,2
small,standard,mean_sum,joblib-pandas,0.014280547500050034,0.013438848000077996,0.015122247000022071,2
small,standard,mean_sum,pandas,0.004860081000003902,0.00404851400003281,0.005671647999974994,2
small,standard,product_columns,joblib-pandas,0.012674553500005459,0.01254722299995592,0.012801884000054997,2
small,standard,product_columns,pandas,0.0033768879999911405,0.0031004850000044826,0.0036532909999777985,2
small,standard,read_collect,joblib-pandas,0.01253047850002531,0.012421076999999059,0.012639880000051562,2
small,standard,read_collect,pandas,0.004286539000020184,0.004043435000085083,0.004529642999955286,2
small,standard,std,joblib-pandas,0.012962360500011982,0.012599249999993845,0.01332547100003012,2
small,standard,std,pandas,0.0034038525000141817,0.0030957679999801258,0.0037119370000482377,2
small,standard,sum_columns,joblib-pandas,0.013349796500051525,0.012656884000080026,0.014042709000023024,2
small,standard,sum_columns,pandas,0.003337967499987826,0.0032563849999860395,0.003419549999989613,2
small,standard,value_counts,joblib-pandas,0.012920969499987223,0.012692247000018142,0.013149691999956303,2
small,standard,value_counts,pandas,0.004964554500020313,0.004302928000015527,0.005626181000025099,2
