dataset,mode,operation,dask,joblib-pandas,pandas
medium,filtered,sum_columns,0.016365745000030074,0.01414404399997693,0.005011021999962395
medium,filtered,value_counts,0.02292560199998661,0.015573688000017682,0.006680834999997387
medium,filtered_cached,count,0.0030921459999717626,1.312900008088036e-05,1.121599996167788e-05
medium,filtered_cached,count_index,0.002868225000042912,1.2668999943343806e-05,1.1846999996123486e-05
medium,filtered_cached,groupby,0.024902741000005335,0.002357727999992676,0.0024270600000591003
medium,filtered_cached,join,0.008533671000009235,0.001183435000029931,0.0016885409999076728
medium,filtered_cached,join_count,0.01406821199998376,0.0011260009999887188,0.001090689000079692
medium,filtered_cached,mean,0.004466445000048225,0.00018363999993198377,0.0002085080000142625
medium,filtered_cached,mean_product,0.007317264999983308,0.00035169899990705744,0.00039013599996451376
medium,filtered_cached,mean_sum,0.00780786900008934,0.0003434860000197659,0.0004676500000186934
medium,filtered_cached,product_columns,0.004160298000101648,0.00026816599995527213,0.0002806339999779084
medium,filtered_cached,std,0.0042452779999848644,0.000328595000041787,0.00034800299999915296
medium,filtered_cached,sum_columns,0.00430180199998631,0.00024143600001025334,0.0002484659999026917
medium,filtered_cached,value_counts,0.01523442499990324,0.0005896700000675992,0.0006045919999451144
medium,standard,count,0.005769408999981351,0.013432298999987324,0.004169249999904423
medium,standard,count_index,0.012721223999960785,0.014627646999997523,0.004187938000086433
medium,standard,groupby,0.03406860500001585,0.016882323000004362,0.007427615999972659
medium,standard,join,0.01831034700001055,0.01537037799994323,0.005234341000004861
medium,standard,join_count,0.02067583999996714,0.015082247999998799,0.006610131999991609
medium,standard,mean,0.013892854000005173,0.014303730000051473,0.0040585670000155005
medium,standard,mean_product,0.014751511999975264,0.014145857000016804,0.004672534000064843
medium,standard,mean_sum,0.015384606999987227,0.013852734000010969,0.006831142000010004
medium,standard,product_columns,0.01247204599997076,0.013335666999978457,0.004397367000024133
medium,standard,read_collect,0.012027880000005098,0.013461337000080675,0.004438245999949686
medium,standard,std,0.013238569000009193,0.013963486999955421,0.005677876000049764
medium,standard,sum_columns,0.013519392000034713,0.014041914000017641,0.0047510590000001685
medium,standard,value_counts,0.02028738700005306,0.014123092999966502,0.0053591870000673225
small,filtered,count,0.013828945000000203,0.012975949000065157,0.004060620000018389
small,filtered,count_index,0.01148443399995358,0.013092695999944226,0.003854186000012305
small,filtered,groupby,0.03260128099998383,0.01455143800001224,0.0074146380000001955
small,filtered,join,0.014882141000043703,0.013665030999959527,0.005136478000054012
small,filtered,join_count,0.021422586999960913,0.013967557000000852,0.004945274999954563
small,filtered,mean,0.01438364500006628,0.013703907000035542,0.004383307000011882
small,filtered,mean_product,0.01439383000001726,0.013423930000044493,0.004335571000069649
small,filtered,mean_sum,0.018729951999944205,0.013267092999967645,0.0035485740000922306
small,filtered,product_columns,0.011920469000074263,0.013043794000054731,0.004366261000086524
small,filtered,std,0.014869451999970806,0.013010975999918628,0.003737073000024793
small,filtered,sum_columns,0.012608715000055781,0.014400018999936037,0.00471980200006783
small,filtered,value_counts,0.019114820000027066,0.013421210000046813,0.0036403599999630387
small,filtered_cached,count,0.0032325299999911294,1.1116999985461007e-05,1.187700001992198e-05
small,filtered_cached,count_index,0.0024471220000350513,9.434000048713642e-06,1.0654999982762092e-05
small,filtered_cached,groupby,0.02295762599999307,0.001792725000086648,0.0018306810000012774
small,filtered_cached,join,0.007626064000078259,0.001018162000036682,0.0010524829999667418
small,filtered_cached,join_count,0.010955874000046606,0.0011072329999706199,0.0010377710000284424
small,filtered_cached,mean,0.0037667479999754505,0.00017464699999436561,0.0001864850000856677
small,filtered_cached,mean_product,0.004475705000004382,0.00040651000006164395,0.0004722669999637219
small,filtered_cached,mean_sum,0.004983395000067503,0.00030360800008111255,0.0003408129999797893
small,filtered_cached,product_columns,0.002218474999949649,0.0003213140000752901,0.00022385099998700753
small,filtered_cached,std,0.0032455799999979718,0.00023749100000713952,0.0002604139999675681
small,filtered_cached,sum_columns,0.0022111229999381976,0.00033481399998436245,0.00023356400004104216
small,filtered_cached,value_counts,0.008434392000026492,0.0004539189999377413,0.00042867199999818695
small,standard,count,0.006399912000006225,0.012336731000004875,0.0030789319999939835
small,standard,count_index,0.008481663999987177,0.012563064999994822,0.003499903000033555
small,standard,groupby,0.031001916999912282,0.014268731000015578,0.004745850999938739
small,standard,join,0.012827555000058055,0.013646253000047182,0.0038032710000379666
small,standard,join_count,0.020972151000023587,0.014170004000106928,0.004007311999998819
small,standard,mean,0.01022530500006269,0.01294948400004614,0.003500904000020455
small,standard,mean_product,0.012359765000041989,0.013058845000045949,0.003786566000030689
small,standard,mean_sum,0.011021289000041179,0.012688497999988613,0.003054657000006955
small,standard,product_columns,0.009977079000009326,0.013460431999988032,0.0033003890000600222
small,standard,read_collect,0.010780664999970213,0.012433948000079909,0.003177277999952821
small,standard,std,0.011173353999993196,0.012847743000065748,0.003354690000037408
small,standard,sum_columns,0.00877030799995282,0.01331818200003454,0.0039189860000306
small,standard,value_counts,0.016928474000110327,0.01275094999994053,0.00309565699990344
