backend,mode,operation,dataset,input_rows,repeat,status,seconds,reason,warnings,validated,source_file
joblib-pandas,filtered,value_counts,large,200000,2.0,ok,0.027188413999965633,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,join_count,large,200000,0.0,ok,0.02686019599991596,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,join_count,large,200000,1.0,ok,0.028354870999919513,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,join_count,large,200000,2.0,ok,0.0275408500000367,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,product_columns,large,200000,0.0,ok,0.02813823600001797,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,product_columns,large,200000,1.0,ok,0.026347109999960594,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,product_columns,large,200000,2.0,ok,0.026539812999999413,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,mean_product,large,200000,0.0,ok,0.02764335500000925,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,mean_product,large,200000,1.0,ok,0.027233711999997468,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,mean_product,large,200000,2.0,ok,0.029059444999916195,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,join,large,200000,0.0,ok,0.03262499100003424,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,join,large,200000,1.0,ok,0.027759396999954333,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,join,large,200000,2.0,ok,0.040412167999988924,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,groupby,large,200000,0.0,ok,0.031395877000022665,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,groupby,large,200000,1.0,ok,0.03414582299990343,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,groupby,large,200000,2.0,ok,0.036297804000014366,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,sum_columns,large,200000,0.0,ok,0.02693013400005384,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,sum_columns,large,200000,1.0,ok,0.027489539000043806,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,sum_columns,large,200000,2.0,ok,0.02751757099997576,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,mean,large,200000,0.0,ok,0.026376893000019663,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,mean,large,200000,1.0,ok,0.02693225699999857,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,mean,large,200000,2.0,ok,0.027350729000090723,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,mean_complex,large,200000,,skipped,,source lacks coordinates,,,large-joblib-pandas.json
joblib-pandas,filtered,std,large,200000,0.0,ok,0.027809141000034288,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,std,large,200000,1.0,ok,0.027951817000030132,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,std,large,200000,2.0,ok,0.028733743999964645,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,mean_sum,large,200000,0.0,ok,0.029054554000026656,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,mean_sum,large,200000,1.0,ok,0.027067752999982986,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,mean_sum,large,200000,2.0,ok,0.027165852000052837,,[],True,large-joblib-pandas.json
