dataset,mode,operation,backend,median_seconds,min_seconds,max_seconds,repeats
large,filtered,sum_columns,dask,0.03338988599989534,0.030517058999976143,0.033771864999948775,3
large,filtered,sum_columns,joblib-pandas,0.027489539000043806,0.02693013400005384,0.02751757099997576,3
large,filtered,sum_columns,pandas,0.010765379999952529,0.009866273000056935,0.01549126999998407,3
large,filtered,value_counts,dask,0.04950288400004865,0.04149294000001191,0.049628761000008126,3
large,filtered,value_counts,joblib-pandas,0.027543239000010544,0.027188413999965633,0.02937352699996154,3
large,filtered,value_counts,pandas,0.009238366999966274,0.009071972000015194,0.01060753100000511,3
large,filtered_cached,count,dask,0.003204411999945478,0.003109492000021419,0.0034511359999669367,3
large,filtered_cached,count,joblib-pandas,9.253000030184921e-06,8.632999993096746e-06,9.524000006422284e-06,3
large,filtered_cached,count,pandas,6.149000000732485e-06,4.888000034952711e-06,6.59900001664937e-06,3
large,filtered_cached,count_index,dask,0.0033006140000679807,0.0030918960000008155,0.004411769000057575,3
large,filtered_cached,count_index,joblib-pandas,9.874999932435458e-06,9.714999919196998e-06,1.0175000056733552e-05,3
large,filtered_cached,count_index,pandas,6.5089999452538905e-06,6.5000000404324965e-06,9.0739999905054e-06,3
large,filtered_cached,groupby,dask,0.034521815000061906,0.033100877000038054,0.03505850800002008,3
large,filtered_cached,groupby,joblib-pandas,0.005436310000050071,0.005398214000024382,0.005669163999982629,3
large,filtered_cached,groupby,pandas,0.00446615800001382,0.004304007999962778,0.004658081000002312,3
large,filtered_cached,join,dask,0.014790756000024885,0.013958083000034094,0.015254115999937312,3
large,filtered_cached,join,joblib-pandas,0.0016109769999275159,0.0012242160000823787,0.0016143020000072283,3
large,filtered_cached,join,pandas,0.0011965850000024147,0.001056087999927513,0.0013519639999231003,3
large,filtered_cached,join_count,dask,0.018301963999988402,0.01622280000003684,0.02148944400005348,3
large,filtered_cached,join_count,joblib-pandas,0.0014431790000344336,0.0013436029998956656,0.0014567489999990357,3
large,filtered_cached,join_count,pandas,0.0009200270000064847,0.0008915449999449265,0.0009565509999447386,3
large,filtered_cached,mean,dask,0.005951115000016216,0.005640596000034748,0.006994863999921108,3
large,filtered_cached,mean,joblib-pandas,0.00025762999996459257,0.0002480260000083945,0.0002690069999289335,3
large,filtered_cached,mean,pandas,0.00021830200000749755,0.0001954580000074202,0.0002431780000051731,3
large,filtered_cached,mean_product,dask,0.013385567000000265,0.013011796000000686,0.016510000000039327,3
large,filtered_cached,mean_product,joblib-pandas,0.0005031919999964884,0.0004506349999928716,0.0005057260000285169,3
large,filtered_cached,mean_product,pandas,0.0003936299999622861,0.00038292499993985984,0.00043047499991644145,3
large,filtered_cached,mean_sum,dask,0.012787201999913123,0.011268158999996558,0.014724342000022261,3
large,filtered_cached,mean_sum,joblib-pandas,0.0004450159999578318,0.000436063000051945,0.0004463680000981185,3
large,filtered_cached,mean_sum,pandas,0.00033435299997108814,0.0003294050000022253,0.00035598499994193844,3
large,filtered_cached,product_columns,dask,0.009313486999985798,0.00920182200002273,0.010123774000021513,3
large,filtered_cached,product_columns,joblib-pandas,0.0004714450000165016,0.00032784400002583425,0.0013224010000385533,3
large,filtered_cached,product_columns,pandas,0.00024179599995477474,0.00022572299997136724,0.0002466339999500633,3
large,filtered_cached,std,dask,0.006170527999984188,0.00572526000007656,0.006781392999982927,3
large,filtered_cached,std,joblib-pandas,0.0005605669999795282,0.0005490000000918371,0.0013658249999934924,3
large,filtered_cached,std,pandas,0.0005295309999837627,0.0005106329999762238,0.0005476579999594833,3
large,filtered_cached,sum_columns,dask,0.008986945999936324,0.00896126700001787,0.009126221000087753,3
large,filtered_cached,sum_columns,joblib-pandas,0.0003454899999724148,0.00028552099990974966,0.0003608619999795337,3
large,filtered_cached,sum_columns,pandas,0.0002387130000442994,0.00022099600005276443,0.00026508099995226075,3
large,filtered_cached,value_counts,dask,0.042935383999974874,0.0419356779999589,0.04416504900007112,3
large,filtered_cached,value_counts,joblib-pandas,0.0011243079999303518,0.0010297489999402387,0.001343462000022555,3
large,filtered_cached,value_counts,pandas,0.0009446429999115935,0.0009269470000390356,0.0011863800000355695,3
large,standard,count,dask,0.005728216999955293,0.005216481000047679,0.005861544000026697,3
large,standard,count,joblib-pandas,0.025097185999925387,0.024091165999948316,0.031614819000083116,3
large,standard,count,pandas,0.011790296000071976,0.006685911999966265,0.012148289000037948,3
large,standard,count_index,dask,0.01872047400001975,0.018508330000031492,0.024021010999945247,3
large,standard,count_index,joblib-pandas,0.024573142000008374,0.023746778000031554,0.024628544999927726,3
large,standard,count_index,pandas,0.008025342999985696,0.006595532999995157,0.009840288999953373,3
large,standard,groupby,dask,0.05147643500004051,0.049452525999981845,0.05213420600000518,3
large,standard,groupby,joblib-pandas,0.033815030000027946,0.033705758999985846,0.03465462400004071,3
large,standard,groupby,pandas,0.015825693000010688,0.014399519999983568,0.026837386000011065,3
large,standard,join,dask,0.042002036999974734,0.03895978700006708,0.046570661999908225,3
large,standard,join,joblib-pandas,0.025490090000062082,0.025343474000010247,0.025996101000032468,3
large,standard,join,pandas,0.008713402000012138,0.008180726999967192,0.00925009399998089,3
large,standard,join_count,dask,0.027962970999965364,0.026526140999976633,0.02983248199996069,3
large,standard,join_count,joblib-pandas,0.02597956600004636,0.025557971000012003,0.026401063999969665,3
large,standard,join_count,pandas,0.012868763000028594,0.00808892600002764,0.013137523999944278,3
large,standard,mean,dask,0.026929314999961207,0.02660031400000662,0.027671685999962392,3
large,standard,mean,joblib-pandas,0.024837997999952677,0.02472032399998625,0.025423767000006592,3
large,standard,mean,pandas,0.010077960999979041,0.007458145999976296,0.014966085999958523,3
large,standard,mean_product,dask,0.028270441000017854,0.027744103000031828,0.02907847899996341,3
large,standard,mean_product,joblib-pandas,0.02560690200004956,0.02509000499992453,0.025983096999993904,3
large,standard,mean_product,pandas,0.0072432340000432305,0.007019002999982149,0.013036579000072379,3
large,standard,mean_sum,dask,0.028073034000044572,0.026710112000046138,0.028108084999985294,3
large,standard,mean_sum,joblib-pandas,0.02524625000000924,0.024772901999995156,0.027156168000033176,3
large,standard,mean_sum,pandas,0.01295820799998637,0.007416390000003048,0.020853766999948675,3
large,standard,product_columns,dask,0.024735006000014437,0.024657301000047482,0.026684994999982337,3
large,standard,product_columns,joblib-pandas,0.02648767699997734,0.024926808000031997,0.026773603000037838,3
large,standard,product_columns,pandas,0.01828663499998129,0.01372200100001919,0.0266623330001039,3
large,standard,read_collect,dask,0.04870241799994801,0.045215020999989974,0.05104568800004472,3
large,standard,read_collect,joblib-pandas,0.026714381999909165,0.025618163999979515,0.03594240300003548,3
large,standard,read_collect,pandas,0.007236083999941911,0.007168544000023758,0.008114199000033295,3
large,standard,std,dask,0.02444663100004618,0.0242679059999773,0.03198683199991592,3
large,standard,std,joblib-pandas,0.025443326000072375,0.02517729800001689,0.047316664999925706,3
large,standard,std,pandas,0.006569670999965638,0.0064832829999659225,0.007568453999965641,3
large,standard,sum_columns,dask,0.02807538799993381,0.024373512000011033,0.029603303000044434,3
large,standard,sum_columns,joblib-pandas,0.025104571000042597,0.024423851999927138,0.03818494600000122,3
large,standard,sum_columns,pandas,0.0268503460000602,0.019178093999926205,0.039602792999971825,3
large,standard,value_counts,dask,0.03809938599999896,0.03789583599996149,0.0389120660000799,3
large,standard,value_counts,joblib-pandas,0.02634446999991269,0.026281036999989738,0.026436541999942165,3
large,standard,value_counts,pandas,0.008767758999965736,0.008292822999919736,0.021346187000062855,3
medium,filtered,count,dask,0.017247176999944713,0.016364292999924146,0.023369011999989198,3
medium,filtered,count,joblib-pandas,0.014863935999983369,0.013839315000041097,0.01618171000006896,3
medium,filtered,count,pandas,0.005168875000094886,0.005076938999991398,0.00539464799999223,3
medium,filtered,count_index,dask,0.0169697169999381,0.016734279000047536,0.017493139999942287,3
medium,filtered,count_index,joblib-pandas,0.015329286999985925,0.015307751000023018,0.015474271000016415,3
medium,filtered,count_index,pandas,0.005292487000019719,0.004936993000001166,0.006508691000021827,3
medium,filtered,groupby,dask,0.04369761300006303,0.03955630799998744,0.05884859599996162,3
medium,filtered,groupby,joblib-pandas,0.016015058999983012,0.015657031000046118,0.018514850999963528,3
medium,filtered,groupby,pandas,0.007243425000069692,0.007088326000030065,0.008068711999953848,3
medium,filtered,join,dask,0.02187024299996665,0.021642823000092903,0.022632128000054763,3
medium,filtered,join,joblib-pandas,0.015217192000022806,0.014645284000039283,0.015223826999999801,3
medium,filtered,join,pandas,0.006280184000047484,0.005857960999946954,0.013277711000000636,3
medium,filtered,join_count,dask,0.03157779700006813,0.02547338299996227,0.03238359199997376,3
medium,filtered,join_count,joblib-pandas,0.014804669000000104,0.014355656000020645,0.015500574999919081,3
medium,filtered,join_count,pandas,0.008957692999956635,0.007494925999935731,0.009440250000011474,3
medium,filtered,mean,dask,0.018656988999964597,0.018397101000005023,0.02815097699999569,3
medium,filtered,mean,joblib-pandas,0.014427517000058288,0.013971870000091258,0.016067200999941633,3
medium,filtered,mean,pandas,0.005217291000008117,0.004825047000053928,0.005989075000002231,3
medium,filtered,mean_product,dask,0.023370698000007906,0.021886697000013555,0.03280179399996541,3
medium,filtered,mean_product,joblib-pandas,0.014507385000001705,0.013864502000046741,0.015957775000060792,3
medium,filtered,mean_product,pandas,0.005834856999967997,0.0053078500000083295,0.013156195999954434,3
medium,filtered,mean_sum,dask,0.02073200799998176,0.01853599999992639,0.02271093399997426,3
medium,filtered,mean_sum,joblib-pandas,0.014370998000003965,0.014322947999971802,0.0183141649999925,3
medium,filtered,mean_sum,pandas,0.005147512999997161,0.00481511300006332,0.005786015000012412,3
medium,filtered,product_columns,dask,0.018474039000011544,0.01775909799994224,0.019588439000017388,3
medium,filtered,product_columns,joblib-pandas,0.014017827999964538,0.013659219000032863,0.014093614000103116,3
medium,filtered,product_columns,pandas,0.006712471000014375,0.005090398999982426,0.007282292000013513,3
medium,filtered,std,dask,0.021819303000029322,0.017090335999910167,0.023730309000029592,3
medium,filtered,std,joblib-pandas,0.01730038499999864,0.0147039500000119,0.019312352999918403,3
medium,filtered,std,pandas,0.00576005699997495,0.0056201400000190915,0.00700889899997037,3
medium,filtered,sum_columns,dask,0.016365745000030074,0.016341850000003433,0.016825315000005503,3
medium,filtered,sum_columns,joblib-pandas,0.01414404399997693,0.013599290999991354,0.014392035000014403,3
medium,filtered,sum_columns,pandas,0.005011021999962395,0.005002919999924416,0.006161318999943433,3
medium,filtered,value_counts,dask,0.02292560199998661,0.02105455899993558,0.026393381999923804,3
medium,filtered,value_counts,joblib-pandas,0.015573688000017682,0.015358746999936557,0.04365127500000199,3
medium,filtered,value_counts,pandas,0.006680834999997387,0.005878542000004927,0.008079126999973596,3
medium,filtered_cached,count,dask,0.0030921459999717626,0.0030034540000087873,0.00329969299991717,3
medium,filtered_cached,count,joblib-pandas,1.312900008088036e-05,1.2178000019957835e-05,4.090999993877631e-05,3
